"Info","Info","Info","Objective","Objective","Extra Output","Variable","Variable","Variable","Variable",
"Iteration","Generation","Category","Total site energy consumption (kWh)","Discomfort ASHRAE 55 90% Acceptability (hr)","Cooling energy (kWh)","External wall construction","Flat roof construction","Glazing type","Partition construction",
"87","2","3-Non optimal","6787.2","543.357811746579","12617.649","AAC + INSULATION","RCC+INSULATION","GLAZING-7","Partation AAC Wall",
"88","2","3-Non optimal","11654.76","1442.25664771882","25226.349","FLYASH + INSULATION","RCC+ MARABLE","GLAZING-1","Partation Wall-Red Brick",
"89","2","3-Non optimal","11539.68","1421.21495685834","24929.603","FLYASH + INSULATION","RCC+ MARABLE","GLAZING-3","Partation Wall-Flyash",
"90","2","3-Non optimal","11842.9","1504.00932368467","25346.886","HOLLOW BRICK","RCC+ MARABLE","GLAZING-7","Partation AAC Wall",
"91","2","3-Non optimal","9725.68","1081.04133710281","20091.963","FLYASH BRICK","RCC + FOAM CONCRETE","GLAZING-7","Partation Wall-Red Brick",
"92","2","3-Non optimal","11633.22","1446.01475289674","25198.507","FLYASH + INSULATION","RCC+ MARABLE","GLAZING-8","Partation Wall-Red Brick",
"93","2","3-Non optimal","7023.01","587.034706491584","13065.273","AAC BRICK","RCC+INSULATION+TILE","GLAZING-7","Partation Wall-Red Brick",
"94","2","3-Non optimal","11881.15","1485.87332707243","25492.095","HOLLOW BRICK","RCC+ MARABLE","GLAZING-10","Partation Wall-Flyash",
"95","2","3-Non optimal","6986.07","547.265922445492","13173.961","AAC + INSULATION","RCC+INSULATION","GLAZING-4","Partation Wall-Red Brick",
"96","2","3-Non optimal","8935.86","896.538875870554","17993.961","AAC BRICK","RCC + FOAM CONCRETE","GLAZING-10","Partation AAC Wall",
"97","2","3-Non optimal","12096.67","1515.4042667223","26154.977","RED BRICK","RCC+ MARABLE","GLAZING-1","Partation Wall-Red Brick",
"98","2","3-Non optimal","11934.73","1492.2873523535","25764.785","RED BRICK","RCC+ MARABLE","GLAZING-10","Partation Wall-Flyash",
"99","2","3-Non optimal","8845.66","848.456804312081","17991.129","FLYASH + INSULATION","RCC + FOAM CONCRETE","GLAZING-7","Partation AAC Wall",
"100","2","3-Non optimal","6725.29","484.411884293362","12509.855","AAC + INSULATION","RCC+INSULATION+TILE","GLAZING-8","Partation Wall-Flyash",
"101","2","3-Non optimal","9076.66","883.805518852317","18598.607","FLYASH + INSULATION","RCC + FOAM CONCRETE","GLAZING-5","Partation AAC Wall",
"102","2","3-Non optimal","8782.51","1111.82880891435","17319.311","CONCRETE BRICK","RCC+INSULATION","GLAZING-9","Partation Wall-Red Brick",
"103","2","3-Non optimal","8519.48","888.577261468121","16970.183","FLYASH BRICK","RCC+INSULATION","GLAZING-1","Partation Wall-Red Brick",
"104","2","3-Non optimal","8043.91","817.251028532185","15762.952","FLYASH BRICK","RCC+INSULATION+TILE","GLAZING-10","Partation Wall-Red Brick",
"105","2","3-Non optimal","6722.71","495.837971028748","12489.470","AAC + INSULATION","RCC+INSULATION+TILE","GLAZING-4","Partation Wall-Red Brick",
"106","2","3-Non optimal","6542.22","491.769796277974","12031.364","AAC + INSULATION","RCC+INSULATION+TILE","GLAZING-10","Partation Wall-Flyash",
"107","2","3-Non optimal","10633.13","1390.48233219283","22169.643","AAC BRICK","RRC SLAB","GLAZING-3","Partation AAC Wall",
"108","2","3-Non optimal","10703.44","1402.31403583849","22346.928","AAC BRICK","RRC SLAB","GLAZING-2","Partation AAC Wall",
"109","2","3-Non optimal","11581.16","1438.49132357507","24774.688","AAC BRICK","RCC+ MARABLE","GLAZING-4","Partation AAC Wall",
"110","2","3-Non optimal","9762.02","1130.92586758414","20029.876","HOLLOW BRICK","RCC + FOAM CONCRETE","GLAZING-3","Partation Wall-Red Brick",
"111","2","3-Non optimal","9040.13","871.745008851815","18530.419","FLYASH + INSULATION","RCC + FOAM CONCRETE","GLAZING-9","Partation Wall-Red Brick",
"112","2","3-Non optimal","8598.41","1078.19182399284","16842.705","CONCRETE BRICK","RCC+INSULATION+TILE","GLAZING-4","Partation Wall-Flyash",
"113","2","3-Non optimal","11419.45","1590.10696802179","23965.766","CONCRETE BRICK","RRC SLAB","GLAZING-8","Partation Wall-Flyash",
"114","2","3-Non optimal","9014.05","928.719456985888","18171.233","AAC BRICK","RCC + FOAM CONCRETE","GLAZING-6","Partation AAC Wall",
"115","2","3-Non optimal","9707.61","1084.04342591067","20011.301","FLYASH BRICK","RCC + FOAM CONCRETE","GLAZING-3","Partation AAC Wall",
"116","2","3-Non optimal","8307.56","860.550316616175","16267.939","HOLLOW BRICK","RCC+INSULATION","GLAZING-5","Partation AAC Wall",
"117","2","3-Non optimal","7135.54","538.505652789204","13592.414","FLYASH + INSULATION","RCC+INSULATION+TILE","GLAZING-5","Partation Wall-Red Brick",
"118","2","3-Non optimal","8055.97","866.042615396171","15627.764","HOLLOW BRICK","RCC+INSULATION+TILE","GLAZING-6","Partation Wall-Red Brick",
"119","2","3-Non optimal","8301.49","866.95468757744","16276.663","HOLLOW BRICK","RCC+INSULATION","GLAZING-8","Partation Wall-Flyash",
"120","2","3-Non optimal","7428.55","624.885472860333","14120.919","AAC BRICK","RCC+INSULATION","GLAZING-9","Partation Wall-Flyash",
"121","2","3-Non optimal","7625.32","672.900172969035","14610.497","AAC BRICK","RCC+INSULATION","GLAZING-1","Partation Wall-Red Brick",
"122","3","3-Non optimal","8150.97","848.916836558524","16041.876","RED BRICK","RCC+INSULATION+TILE","GLAZING-10","Partation Wall-Flyash",
"123","3","3-Non optimal","10039.84","1331.29341211864","20536.001","CONCRETE BRICK","RCC + FOAM CONCRETE","GLAZING-6","Partation Wall-Flyash",
"124","3","3-Non optimal","7258.79","621.461545096352","13677.101","AAC BRICK","RCC+INSULATION","GLAZING-10","Partation Wall-Red Brick",
"125","3","3-Non optimal","6980.09","585.832275159901","13102.460","AAC + INSULATION","RCC+INSULATION","GLAZING-3","Partation AAC Wall",
"126","3","3-Non optimal","11980.55","1502.66594013639","25858.798","RED BRICK","RCC+ MARABLE","GLAZING-6","Partation Wall-Red Brick",
"127","3","3-Non optimal","7150.91","592.900669467021","13588.895","AAC + INSULATION","RCC+INSULATION","GLAZING-2","Partation Wall-Flyash",
"128","3","3-Non optimal","6944.65","583.099432798792","13045.938","AAC + INSULATION","RCC+INSULATION","GLAZING-6","Partation Wall-Red Brick",
