"Info","Info","Info","Objective","Objective","Extra Output","Variable","Variable","Variable","Variable","Variable",
"Iteration","Generation","Category","Total site energy consumption (kWh)","Discomfort ASHRAE 55 90% Acceptability (hr)","Cooling energy (kWh)","Window to Wall %","Site orientation (°)","Facade type","Local shading type","% External window opens",
"69","1","3-Non optimal","11281.87","1473.46331410346","23972.484","50","180","Layout 4x4-10-1M","OVERHANG -2","80",
"70","1","3-Non optimal","11254.99","1473.71928425063","23896.652","20","180","Layout 5x3-10-0.8M","OVERHANG -2","60",
"71","1","3-Non optimal","11531.84","1452.46678695642","24645.469","30","90","Layout 3x6-10-0.8M","OVERHANG -1","60",
"72","1","3-Non optimal","11390.2","1444.90715956767","24300.915","10","270","Layout 4x6-10-0.8M","OVERHANG -4 - SDEFINS","70",
"73","1","3-Non optimal","11312.89","1438.82740997467","24089.380","45","270","Layout 6x6-10-0.6M","OVERHANG -4 - SDEFINS","60",
"74","1","3-Non optimal","11381.14","1447.32568300731","24265.687","45","270","Layout 6x4-10-0.1M","OVERHANG -3 SIDEFINS","80",
"75","1","3-Non optimal","11467.83","1460.88450134231","24493.396","25","0","Layout 3x4-10-0.6M","OVERHANG -3 SIDEFINS","50",
"76","1","3-Non optimal","11622.6","1478.65107042907","24895.661","45","0","Layout 6x4-10-0.1M","No shading","70",
"77","1","3-Non optimal","11588.61","1474.50906440947","24810.815","20","0","Layout 6x3-10-0.6M","No shading","70",
"78","1","3-Non optimal","11509.71","1466.78624131825","24601.235","50","0","Layout 4x6-10-0.1M","OVERHANG -2","60",
"79","1","3-Non optimal","11365.02","1445.15311112464","24224.459","10","270","Layout 6x6-10-1M","OVERHANG -3 SIDEFINS","70",
"80","1","3-Non optimal","11529.25","1462.14231806743","24622.007","20","90","Layout 6x6-10-0.8M","No shading","60",
"81","1","3-Non optimal","11468.04","1452.99633393704","24465.895","35","90","Layout 6x5-10-1M","OVERHANG -1","80",
"82","1","3-Non optimal","11256.07","1449.30999366408","23898.149","30","90","Layout 5x5-10-1M","OVERHANG -2","60",
"83","1","3-Non optimal","11384.91","1446.10068784993","24280.979","15","270","Layout 5x4-10-0.8M","OVERHANG -2","50",
"84","1","3-Non optimal","11663.37","1466.1639235977","24989.974","35","90","Layout 4x3-10-1M","No shading","60",
"85","1","3-Non optimal","11182.61","1471.20150426351","23693.201","45","180","Layout 6x3-10-1M","OVERHANG -4 - SDEFINS","50",
"86","1","3-Non optimal","11285.11","1473.35880758003","23982.635","10","180","Layout 4x4-10-0.8M","OVERHANG -2","80",
"87","1","3-Non optimal","11503.79","1456.74215725891","24593.826","35","270","Layout 5x3-10-0.8M","OVERHANG -1","60",
"88","1","3-Non optimal","11681.1","1466.10297453536","25043.781","15","90","Layout 4x3-10-0.8M","No shading","80",
"89","1","3-Non optimal","11418.66","1481.82437568707","24332.171","40","180","Layout 3x6-10-0.6M","OVERHANG -3 SIDEFINS","60",
"90","1","3-Non optimal","11373.99","1441.14238888115","24262.267","45","270","Layout 5x3-10-0.8M","OVERHANG -2","80",
"91","1","3-Non optimal","11669.78","1486.43259927085","25014.389","35","0","Layout 6x5-10-0.8M","No shading","50",
"92","1","3-Non optimal","11250.52","1453.13503384728","23882.026","40","90","Layout 3x4-10-0.6M","OVERHANG -4 - SDEFINS","50",
"93","1","3-Non optimal","11396.39","1444.48285315856","24317.082","10","270","Layout 4x3-10-0.8M","OVERHANG -4 - SDEFINS","50",
"94","1","3-Non optimal","11183.36","1470.31950441703","23697.373","40","180","Layout 6x6-10-1M","OVERHANG -4 - SDEFINS","60",
"95","1","3-Non optimal","11726.28","1479.01195692776","25179.107","10","270","Layout 3x6-10-0.6M","No shading","80",
"96","1","3-Non optimal","11345.15","1452.74581166366","24161.090","25","0","Layout 6x3-10-1M","OVERHANG -4 - SDEFINS","80",
"97","1","3-Non optimal","11615.04","1462.59000370607","24864.538","15","90","Layout 4x4-10-1M","No shading","80",
"98","1","3-Non optimal","11383.12","1453.28776181561","24272.432","45","0","Layout 5x3-10-0.8M","OVERHANG -4 - SDEFINS","80",
"99","2","3-Non optimal","11350.36","1441.27531867687","24193.650","20","270","Layout 5x4-10-1M","OVERHANG -4 - SDEFINS","70",
"100","2","3-Non optimal","11397.37","1444.49364999342","24324.046","15","270","Layout 4x6-10-0.6M","OVERHANG -4 - SDEFINS","80",
"101","2","3-Non optimal","11631.27","1479.64601938138","24917.528","10","0","Layout 6x4-10-0.8M","No shading","60",
"102","2","3-Non optimal","11442.94","1448.88860886991","24442.412","15","270","Layout 3x6-10-1M","OVERHANG -2","80",
"103","2","1-Optimal","11180.14","1450.88625678516","23681.004","50","90","Layout 6x3-10-1M","OVERHANG -4 - SDEFINS","50",
"104","2","3-Non optimal","11428.77","1479.31302498477","24362.491","25","180","Layout 5x3-10-0.8M","OVERHANG -1","60",
"105","2","3-Non optimal","11390.52","1444.6748951129","24303.930","50","270","Layout 4x6-10-0.8M","OVERHANG -4 - SDEFINS","80",
"106","2","3-Non optimal","11602.62","1472.80448178433","24832.648","40","270","Layout 6x4-10-0.8M","No shading","50",
